id,name,province_id:id,zip,phone_prefix,istat_code,cadaster_code,web_site
l10n_it_base.si_1,Adlešiči,l10n_it_base.si_SI,8341,386,251,245,
l10n_it_base.si_2,Ajdovščina,l10n_it_base.si_SI,5270,386,251,245,
l10n_it_base.si_3,Ankaran/Ancarano,l10n_it_base.si_SI,6280,386,251,245,
l10n_it_base.si_4,Apače,l10n_it_base.si_SI,9253,386,251,245,
l10n_it_base.si_5,Artiče,l10n_it_base.si_SI,8253,386,251,245,
l10n_it_base.si_6,Begunje na Gorenjskem,l10n_it_base.si_SI,4275,386,251,245,
l10n_it_base.si_7,Begunje pri Cerknici,l10n_it_base.si_SI,1382,386,251,245,
l10n_it_base.si_8,Beltinci,l10n_it_base.si_SI,9231,386,251,245,
l10n_it_base.si_9,Benedikt,l10n_it_base.si_SI,2234,386,251,245,
l10n_it_base.si_10,Bistrica ob Dravi,l10n_it_base.si_SI,2345,386,251,245,
l10n_it_base.si_11,Bistrica ob Sotli,l10n_it_base.si_SI,3256,386,251,245,
l10n_it_base.si_12,Bizeljsko,l10n_it_base.si_SI,8259,386,251,245,
l10n_it_base.si_13,Blagovica,l10n_it_base.si_SI,1223,386,251,245,
l10n_it_base.si_14,Blanca,l10n_it_base.si_SI,8283,386,251,245,
l10n_it_base.si_15,Bled,l10n_it_base.si_SI,4260,386,251,245,
l10n_it_base.si_16,Blejska Dobrava,l10n_it_base.si_SI,4273,386,251,245,
l10n_it_base.si_17,Bodonci,l10n_it_base.si_SI,9265,386,251,245,
l10n_it_base.si_18,Bogojina,l10n_it_base.si_SI,9222,386,251,245,
l10n_it_base.si_19,Bohinjska Bela,l10n_it_base.si_SI,4263,386,251,245,
l10n_it_base.si_20,Bohinjska Bistrica,l10n_it_base.si_SI,4264,386,251,245,
l10n_it_base.si_21,Bohinjsko jezero,l10n_it_base.si_SI,4265,386,251,245,
l10n_it_base.si_22,Borovnica,l10n_it_base.si_SI,1353,386,251,245,
l10n_it_base.si_23,Boštanj,l10n_it_base.si_SI,8294,386,251,245,
l10n_it_base.si_24,Bovec,l10n_it_base.si_SI,5230,386,251,245,
l10n_it_base.si_25,Branik,l10n_it_base.si_SI,5295,386,251,245,
l10n_it_base.si_26,Braslovče,l10n_it_base.si_SI,3314,386,251,245,
l10n_it_base.si_27,Breginj,l10n_it_base.si_SI,5223,386,251,245,
l10n_it_base.si_28,Brestanica,l10n_it_base.si_SI,8280,386,251,245,
l10n_it_base.si_29,Bresternica,l10n_it_base.si_SI,2354,386,251,245,
l10n_it_base.si_30,Brezje,l10n_it_base.si_SI,4243,386,251,245,
l10n_it_base.si_31,Brezovica pri Ljubljani,l10n_it_base.si_SI,1351,386,251,245,
l10n_it_base.si_32,Brežice,l10n_it_base.si_SI,8250,386,251,245,
l10n_it_base.si_33,Brnik - Aerodrom,l10n_it_base.si_SI,4210,386,251,245,
l10n_it_base.si_34,Brusnice,l10n_it_base.si_SI,8321,386,251,245,
l10n_it_base.si_35,Buče,l10n_it_base.si_SI,3255,386,251,245,
l10n_it_base.si_36,Bučka,l10n_it_base.si_SI,8276,386,251,245,
l10n_it_base.si_37,Cankova,l10n_it_base.si_SI,9261,386,251,245,
l10n_it_base.si_38,Celje,l10n_it_base.si_SI,3000,386,251,245,
l10n_it_base.si_39,Celje - poštni predali,l10n_it_base.si_SI,3001,386,251,245,
l10n_it_base.si_40,Cerklje na Gorenjskem,l10n_it_base.si_SI,4207,386,251,245,
l10n_it_base.si_41,Cerklje ob Krki,l10n_it_base.si_SI,8263,386,251,245,
l10n_it_base.si_42,Cerknica,l10n_it_base.si_SI,1380,386,251,245,
l10n_it_base.si_43,Cerkno,l10n_it_base.si_SI,5282,386,251,245,
l10n_it_base.si_44,Cerkvenjak,l10n_it_base.si_SI,2236,386,251,245,
l10n_it_base.si_45,Ceršak,l10n_it_base.si_SI,2215,386,251,245,
l10n_it_base.si_46,Cirkovce,l10n_it_base.si_SI,2326,386,251,245,
l10n_it_base.si_47,Cirkulane,l10n_it_base.si_SI,2282,386,251,245,
l10n_it_base.si_48,Col,l10n_it_base.si_SI,5273,386,251,245,
l10n_it_base.si_49,Čatež ob Savi,l10n_it_base.si_SI,8251,386,251,245,
l10n_it_base.si_50,Čemšenik,l10n_it_base.si_SI,1413,386,251,245,
l10n_it_base.si_51,Čepovan,l10n_it_base.si_SI,5253,386,251,245,
l10n_it_base.si_52,Črenšovci,l10n_it_base.si_SI,9232,386,251,245,
l10n_it_base.si_53,Črna na Koroškem,l10n_it_base.si_SI,2393,386,251,245,
l10n_it_base.si_54,Črni Kal,l10n_it_base.si_SI,6275,386,251,245,
l10n_it_base.si_55,Črni Vrh nad Idrijo,l10n_it_base.si_SI,5274,386,251,245,
l10n_it_base.si_56,Črniče,l10n_it_base.si_SI,5262,386,251,245,
l10n_it_base.si_57,Črnomelj,l10n_it_base.si_SI,8340,386,251,245,
l10n_it_base.si_58,Dekani,l10n_it_base.si_SI,6271,386,251,245,
l10n_it_base.si_59,Deskle,l10n_it_base.si_SI,5210,386,251,245,
l10n_it_base.si_60,Destrnik,l10n_it_base.si_SI,2253,386,251,245,
l10n_it_base.si_61,Divača,l10n_it_base.si_SI,6215,386,251,245,
l10n_it_base.si_62,Dob,l10n_it_base.si_SI,1233,386,251,245,
l10n_it_base.si_63,Dobje pri Planini,l10n_it_base.si_SI,3224,386,251,245,
l10n_it_base.si_64,Dobova,l10n_it_base.si_SI,8257,386,251,245,
l10n_it_base.si_65,Dobovec,l10n_it_base.si_SI,1423,386,251,245,
l10n_it_base.si_66,Dobravlje,l10n_it_base.si_SI,5263,386,251,245,
l10n_it_base.si_67,Dobrna,l10n_it_base.si_SI,3204,386,251,245,
l10n_it_base.si_68,Dobrnič,l10n_it_base.si_SI,8211,386,251,245,
l10n_it_base.si_69,Dobrova,l10n_it_base.si_SI,1356,386,251,245,
l10n_it_base.si_70,Dobrovnik/Dobronak,l10n_it_base.si_SI,9223,386,251,245,
l10n_it_base.si_71,Dobrovo v Brdih,l10n_it_base.si_SI,5212,386,251,245,
l10n_it_base.si_72,Dol pri Hrastniku,l10n_it_base.si_SI,1431,386,251,245,
l10n_it_base.si_73,Dol pri Ljubljani,l10n_it_base.si_SI,1262,386,251,245,
l10n_it_base.si_74,Dole pri Litiji,l10n_it_base.si_SI,1273,386,251,245,
l10n_it_base.si_75,Dolenja vas,l10n_it_base.si_SI,1331,386,251,245,
l10n_it_base.si_76,Dolenjske Toplice,l10n_it_base.si_SI,8350,386,251,245,
l10n_it_base.si_77,Domžale,l10n_it_base.si_SI,1230,386,251,245,
l10n_it_base.si_78,Dornava,l10n_it_base.si_SI,2252,386,251,245,
l10n_it_base.si_79,Dornberk,l10n_it_base.si_SI,5294,386,251,245,
l10n_it_base.si_80,Draga,l10n_it_base.si_SI,1319,386,251,245,
l10n_it_base.si_81,Dragatuš,l10n_it_base.si_SI,8343,386,251,245,
l10n_it_base.si_82,Dramlje,l10n_it_base.si_SI,3222,386,251,245,
l10n_it_base.si_83,Dravograd,l10n_it_base.si_SI,2370,386,251,245,
l10n_it_base.si_84,Duplje,l10n_it_base.si_SI,4203,386,251,245,
l10n_it_base.si_85,Dutovlje,l10n_it_base.si_SI,6221,386,251,245,
l10n_it_base.si_86,Dvor,l10n_it_base.si_SI,8361,386,251,245,
l10n_it_base.si_87,Fala,l10n_it_base.si_SI,2343,386,251,245,
l10n_it_base.si_88,Fokovci,l10n_it_base.si_SI,9208,386,251,245,
l10n_it_base.si_89,Fram,l10n_it_base.si_SI,2313,386,251,245,
l10n_it_base.si_90,Frankolovo,l10n_it_base.si_SI,3213,386,251,245,
l10n_it_base.si_91,Gabrovka,l10n_it_base.si_SI,1274,386,251,245,
l10n_it_base.si_92,Globoko,l10n_it_base.si_SI,8254,386,251,245,
l10n_it_base.si_93,Godovič,l10n_it_base.si_SI,5275,386,251,245,
l10n_it_base.si_94,Golnik,l10n_it_base.si_SI,4204,386,251,245,
l10n_it_base.si_95,Gomilsko,l10n_it_base.si_SI,3303,386,251,245,
